Age,Education,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,country_Canada,country_New_Zealand,country_Other,country_Republic_of_Ireland,country_UK,country_USA,country_Australia,gender_F,gender_M,eth_Black,eth_Mixed-Black/Asian,eth_Mixed-White/Asian,eth_Mixed-White/Black,eth_Other,eth_White,eth_Asian,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,VSA
1,6,0.377443,0.393845,0.47869,0.41249,0.318476,0.565343,0.619957,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2,8,0.808622,0.454133,0.47869,0.266061,0.405822,0.503573,0.539559,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,1,0,1,0,0,2,0,0,1,2,0
1,6,0.462487,0.572721,0.501355,0.367654,0.688508,0.428474,0.539559,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0
4,6,0.492045,0.355252,0.323599,0.41249,0.560031,0.428474,0.539559,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,5,0.534323,0.454133,0.553046,0.477648,0.460156,0.428474,0.308011,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0
1,6,0.444788,0.824839,0.798385,0.660789,0.560031,0.629735,0.825752,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,2,1,2,1,0,1,0,0,1,1,0,1,2,1
1,6,0.492045,0.670141,0.43569,0.41249,0.387201,0.629735,0.539559,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0
1,6,0.932925,0.20651,0.392939,0.56329,0.242854,0.503573,0.388117,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,2,2,1,0,1,0,0,2,0,0,0,2,1
2,6,0.547363,0.476348,0.647268,0.585213,0.710993,0.215401,0.224398,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,2,2,1,1,1,0,0,1,0,1,1,1,0
4,2,0.47755,0.572721,0.392939,0.41249,0.560031,0.428474,0.465658,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0
1,4,0.547363,0.500507,0.527023,0.43459,0.635594,0.33792,0.465658,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,0,2,2,2,2,0,0,1,1,0,2,1,2,1,2,0
1,6,0.787182,0.355252,0.372052,0.367654,0.35358,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,1
1,6,0.534323,0.525607,0.553046,0.41249,0.405822,0.565343,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1
2,6,0.428031,0.742044,0.6246,0.518959,0.560031,0.705068,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,0,1,1
4,7,0.697353,0.765875,0.673143,0.222034,0.263158,0.629735,0.825752,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,1,2,1,2,1,1,1,0,0,2,0,1,0,2,0
2,7,0.649318,0.500507,0.673143,0.20002,0.423875,0.503573,0.465658,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2,2,1,2,2,0,1,1,1,0,1,1,1,2,0
2,6,0.665681,0.412116,0.553046,0.635892,0.423875,0.629735,0.465658,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,2,2,2,1,2,1,0,2,1,2,0,1,2,0
1,7,0.444788,0.525607,0.527023,0.585213,0.584415,0.215401,0.224398,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
2,7,0.428031,0.670141,0.647268,0.635892,0.635594,0.215401,0.465658,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,2,1,2,1,1,1,0,0,1,0,0,0,2,0
5,7,0.462487,0.572721,0.413998,0.367654,0.423875,0.33792,0.308011,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,4,0.636657,0.454133,0.762567,0.390173,0.35358,0.629735,0.710933,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,2,2,0,0,0,0,0,2,0,1,1,1,0
3,5,0.492045,0.476348,0.6246,0.56329,0.584415,0.33792,0.619957,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,2,1,2,1,0,1,0,1,0,1,0,1,0,0
3,7,0.413474,0.549172,0.372052,0.585213,0.517797,0.33792,0.308011,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2,0.649318,0.454133,0.278311,0.43459,0.460156,0.428474,0.465658,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0
1,2,0.697353,0.432804,0.577652,0.56329,0.479394,0.33792,0.825752,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.5,1,0,1,2,1,2,1,0,1,1,0,1,0,2,1,2,0
1,4,0.547363,0.230828,0.602341,0.56329,0.300104,0.215401,0.308011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0,2,2,2,0,0,1,0,1,2,1,2,1,1,0
1,8,0.534323,0.549172,0.372052,0.732522,0.635594,0.33792,0.224398,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,1,2,1,0,1,0,1,1,1,0,1,2,0
4,7,0.534323,0.454133,0.456995,0.660789,0.609443,0,0.388117,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2,7,0.607577,0.432804,0.577652,0.222034,0.370263,0.565343,0.710933,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.5,2,1,2,2,1,2,2,1,1,2,2,0,1,1,2,2,0
4,9,0.396666,0.622976,0.6246,0.497505,0.560031,0.33792,0.388117,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2,7,0.787182,0.20651,0.835399,0.367654,0.537457,0.503573,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.5,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0
4,5,0.591502,0.476348,0.323599,0.635892,0.517797,0.215401,0.132468,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,6,0.357847,0.722089,0.798385,0.762481,0.387201,0.503573,0.388117,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,1,0,2,0,0,1,1,0,1,1,0
2,7,0.560562,0.20651,0.527023,0.585213,0.318476,0.428474,0.308011,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2,0.697353,0.412116,0.413998,0.390173,0.35358,0.705068,0.465658,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0
1,6,0.665681,0.376883,0.577652,0.822465,0.405822,0.565343,0.539559,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2,2,0,2,1,1,1,1,0,1,2,2,1,2,1
3,6,0.413474,0.476348,0.577652,0.518959,0.73538,0.33792,0.465658,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0
3,7,0.396666,0.376883,0.47869,0.518959,0.537457,0.33792,0.308011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,2,2,1,0,0,0,1,1,1,0,1,2,0
2,7,0.506431,0.454133,0.323599,0.497505,0.609443,0.33792,0.224398,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2,8,0.47755,0.549172,0.673143,0.56329,0.517797,0.33792,0.539559,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,1,0
2,5,0.697353,0.412116,0.673143,0.497505,0.370263,0.629735,0.710933,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,2,2,2,2,1,0,1,1,0,2,2,2,1,2,0
2,6,0.665681,0.454133,0.233946,0.541542,0.441431,0.215401,0.308011,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4,5,0.462487,0.549172,0.392939,0.456454,0.560031,0.629735,0.619957,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
5,3,0.665681,0.355252,0.348943,0.70933,0.263158,0.503573,0.465658,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.5,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0
1,5,0.547363,0.597404,0.233946,0.344801,0.370263,0.629735,0.619957,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,2,1,2,1,1,1,0,1,1,0,1,1,2,0
4,2,0.560562,0.376883,0.323599,0.286461,0.405822,0.215401,0.539559,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0
1,6,0.636657,0.597404,0.577652,0.344801,0.300104,0.33792,0.465658,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1
1,1,0.33689,0.355252,0.702175,0.685619,0.423875,0.629735,0.825752,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,1,2,2,2,0,0,0,0,0,1,2,0,2,1,0
1,1,0.560562,0.500507,0.501355,0.685619,0.49904,0.503573,0.465658,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,1,2,1,1,1,1,0,1,1,1,0,2,1
1,6,0.575967,0.476348,0.553046,0.390173,0.560031,0.428474,0.539559,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,2,2,2,1,1,0,0,0,1,2,1,2,1
5,5,0.300564,0.500507,0.392939,0.585213,0.460156,0.33792,0.132468,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
4,5,0.357847,0.622976,0.43569,0.635892,0.710993,0.503573,0.539559,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
1,6,0.357847,0.597404,0.577652,0.585213,0.387201,0.809491,0.619957,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,2,2,0,0,1,0,0,2,0,0,1,2,0
5,8,0.139856,0.670141,0.835399,0.685619,0.35358,0.33792,0.388117,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0
1,6,0.560562,0.549172,0.47869,0.609827,0.242854,0.503573,0.710933,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,1,2,2,2,2,0,0,0,0,0,1,1,0,1,2,0
4,2,0.462487,0.796106,0.527023,0.609827,0.688508,0.215401,0.308011,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,4,0.697353,0.646992,0.602341,0.456454,0.460156,0.565343,0.619957,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,2,1,1,0,0,2,0,2,2,0,0,0,1,0
2,8,0.665681,0.355252,0.413998,0.685619,0.635594,0.215401,0.132468,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4,5,0.492045,0.500507,0.43569,0.43459,0.318476,0.215401,0.132468,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
1,6,0.697353,0.525607,0.6246,0.456454,0.318476,0.215401,0.465658,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,2,2,2,1,0,1,0,0,1,2,0,1,2,0
1,6,0.263083,0.765875,0.6246,0.56329,0.635594,0.705068,0.539559,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,2,0,2,0,2
1,2,0.591502,0.622976,0.6246,0.344801,0.335773,0.565343,0.825752,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1,2,2,2,2,2,1,2,1,0,1,2,1,2,0
5,5,0.492045,0.597404,0.527023,0.390173,0.441431,0.428474,0.539559,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0
3,3,0.697353,0.393845,0.6246,0.541542,0.73538,0.215401,0.132468,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,0
2,5,0.534323,0.597404,0.392939,0.762481,0.584415,0.428474,0.224398,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0
2,6,0.665681,0.0833341,0.553046,0.497505,0.479394,0.503573,0.539559,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,2,2,2,0,0,1,0,0,2,1,0,2,2,0
2,9,0.506431,0.549172,0.392939,0.497505,0.560031,0.215401,0.308011,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2,7,0.636657,0.597404,0.372052,0.390173,0.537457,0.428474,0.465658,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,2,0
2,8,0.104982,0.696415,0.43569,0.609827,0.423875,0.565343,0.539559,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2,6,0.139856,0.549172,0.647268,0.855422,0.49904,0.705068,0.710933,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,1,0,0,1,2,0
2,5,0.575967,0.646992,0.501355,0.43459,0.609443,0.503573,0.465658,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,2,2,2,0,2,0,1,0,0,0,1,2,0
1,7,0.752148,0.355252,0.73099,0.367654,0.300104,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2,2,2,2,2,0,1,0,1,2,1,2,1,2,0
5,1,0.560562,0.549172,0.702175,0.518959,0.405822,0.565343,0.388117,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,2,0
1,6,0.636657,0.432804,0.673143,0.56329,0.423875,0.565343,0.825752,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,2,2,0,0,1,0,0,1,1,0,1,1,0
4,8,0.300564,0.525607,0.577652,0.635892,0.663677,0.215401,0.224398,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,7,0.236668,0.670141,0.647268,0.456454,0.688508,0.428474,0.619957,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.5,2,1,0,2,2,2,0,0,0,0,0,1,1,0,1,1,0
4,6,0.717887,0.476348,0.602341,0.56329,0.405822,0.809491,0.388117,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0
2,8,0.649318,0.597404,0.456995,0.325057,0.387201,0.629735,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,1,2,2,2,2,2,1,2,1,1,0,1,2,1,2,1
1,6,0.752148,0.432804,0.602341,0.585213,0.560031,0.503573,0.539559,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0
3,8,0.575967,0.376883,0.702175,0.609827,0.584415,0.33792,0.465658,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2,8,0.665681,0.454133,0.602341,0.609827,0.318476,0.705068,0.710933,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.5,1,0,2,2,1,2,1,1,1,1,0,0,1,1,1,2,0
3,7,0.357847,0.622976,0.413998,0.685619,0.635594,0.428474,0.308011,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,7,0.560562,0.549172,0.527023,0.41249,0.609443,0.33792,0.619957,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,2,2,1,0,1,0,1,1,1,0,0,2,0
3,8,0.682246,0.525607,0.702175,0.794386,0.35358,0.705068,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,2,2,2,1,2,0,1,0,1,0,0,0,2,0
3,5,0.377443,0.500507,0.577652,0.477648,0.460156,0.428474,0.539559,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0
2,5,0.682246,0.500507,0.501355,0.390173,0.441431,0.503573,0.465658,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0
2,8,0.560562,0.500507,0.47869,0.585213,0.560031,0.503573,0.710933,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0
6,1,0.283986,0.333217,0.141704,0.367654,0.405822,0.215401,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0
1,6,0.717887,0.355252,0.647268,0.541542,0.387201,0.565343,0.825752,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2,2,2,2,1,1,1,1,0,2,2,1,1,2,0
2,9,0.607577,0.572721,0.456995,0.497505,0.688508,0.565343,0.539559,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2,8,0.787182,0.355252,0.47869,0.244253,0.204843,0.705068,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,1,2,1,0,1,0,2,0,0,0,0,2,0
4,7,0.357847,0.646992,0.602341,0.497505,0.584415,0.629735,0.825752,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0
2,6,0.808622,0.230828,0.553046,0.70933,0.370263,0.503573,0.388117,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1
4,8,0.492045,0.549172,0.553046,0.456454,0.479394,0.503573,0.388117,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,6,0.787182,0.311882,0.553046,0.286461,0.35358,0.629735,0.825752,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,2,2,0,0,0,0,0,0,1,2,0,0,2,2
5,5,0.520448,0.393845,0.348943,0.43459,0.441431,0.215401,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4,7,0.575967,0.355252,0.392939,0.660789,0.370263,0.33792,0.539559,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,6,0.808622,0.500507,0.878817,0.43459,0.405822,0.629735,0.710933,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,2,2,2,2,1,0,1,0,2,1,2,0,2,2,0
3,6,0.396666,0.454133,0.43569,0.41249,0.537457,0.33792,0.388117,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
3,9,0.209828,0.742044,0.553046,0.518959,0.609443,0.503573,0.308011,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0
1,4,0.462487,0.500507,0.299519,0.585213,0.479394,0.33792,0.619957,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0
1,7,0.769406,0.311882,0.413998,0.41249,0.517797,0.215401,0.619957,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0
4,8,0.413474,0.412116,0.372052,0.585213,0.479394,0.215401,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0
1,2,0.591502,0.376883,0.372052,0.390173,0.460156,0.565343,0.619957,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,2,2,1,2,0,0,1,0,0,1,0,0,0,2,0
2,6,0.560562,0.112347,0.392939,0.266061,0.128634,0.629735,0.539559,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,1,2,2,2,1,1,1,1,2,2,1,2,2,1,0
1,6,0.575967,0.432804,0.878817,0.222034,0.836768,0.705068,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.5,1,0,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1
4,7,0.462487,0.230828,0.647268,0.367654,0.517797,0.428474,0.388117,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,1,0,0,0,0,0,1,0,0
1,6,0.534323,0.722089,0.73099,0.325057,0.387201,0.565343,0.710933,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.5,2,0,2,2,2,2,2,1,2,2,1,2,2,2,2,0,0
1,7,0.547363,0.549172,0.926716,0.56329,0.263158,0.503573,0.465658,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,1,0
3,5,0.396666,0.572721,0.348943,0.585213,0.49904,0.33792,0.465658,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
